AgencyGroupID,GroupCode,GroupName,GroupHead,ClusterCode,ParentGroupCode,DirectorateCode,Added_by,entry_stamp,last_modified_by,last_modified,DELETED,office_type
1,0,O,"KSRINA ANTONETTE A. AGUDO",NULL,PMS,CO,68,"2019-05-06 14:52:30",3,"2022-10-03 12:32:06",1,3
2,4Ps,"Pantawid-Office of The National Program Manager &","DIR. GEMMA G. GABUYA",,OASSPECPRO,CO,16,"2014-09-12 17:21:34",4,"2022-10-24 16:48:21",0,2
3,4Ps-ASD,"Pantawid-Administrative Support Division","OIC DC. MIZIEL S. PASIA",NULL,4Ps,CO,68,"2016-07-21 11:50:26",68,NULL,0,3
4,4Ps-BDMD,"Pantawid-Beneficiary Data Management Division","OIC DC. ALNAIR I. ESPINOSA",NULL,4Ps,CO,68,"2016-07-21 11:59:33",68,NULL,0,3
5,4Ps-CBD,"Pantawid-Capability Building Division","OIC DC. ARNOLD JARN FORD G. BUIHISAN",NULL,4Ps,CO,68,"2016-07-21 11:46:12",68,NULL,0,3
6,4Ps-CVD,"Pantawid-Compliance Verification Division","CHRISTIAN JOSEPH M. REGUNAY",NULL,4Ps,CO,68,"2016-07-21 11:47:30",68,NULL,0,3
7,4Ps-FDD,"Pantawid-Family Development Division","MARICEL GRACE L.. GOMEZ",NULL,4Ps,CO,68,"2016-07-21 11:42:56",68,NULL,0,3
8,4Ps-GRD,"Pantawid-Grievance Redress Division","MA. ASUNCION DINO BASCO",NULL,4Ps,CO,68,"2016-07-21 12:02:28",68,NULL,0,3
9,4Ps-IPD,"Pantawid-Institutional Partnership Division","OIC DC. KHRISTINA U. UMALI",NULL,4Ps,CO,68,"2016-07-21 15:59:59",68,NULL,0,3
10,4Ps-MCCTD,"Pantawid-Modified Conditional Cash Ttransfer Division","JULIETA DIGMA ALEGARME",NULL,4Ps,CO,68,"2016-07-21 11:45:09",353,"2022-02-02 10:29:01",0,3
11,4Ps-ODPMO,"Pantawid-Office of the Deputy Program Manager for Operation",NULL,NULL,NULL,CO,13,"2022-02-02 11:53:27",14,"2022-02-07 14:13:13",0,2
12,4Ps-ODPMS,"Patawid-Office of the Deputy Program Manager for Support",NULL,NULL,NULL,CO,13,"2022-02-02 12:39:26",NULL,NULL,0,2
13,4Ps-ONPM,"Pantawid-Office of National Program Management",NULL,NULL,NULL,CO,13,"2022-02-02 12:03:16",14,"2022-02-07 14:15:59",1,2
14,4Ps-PMED,"Pantawid-Planning Monitoring and Evaluation Division","OIC-DC JIMMY FRANCIS II T. SCHUCK",NULL,4Ps,CO,68,"2019-02-06 09:29:08",68,NULL,0,3
15,4Ps-RMQAD,"Pantawid-Risk Management and Quality Assurance Division","OIC DC. SABINA P. TABO",NULL,4Ps,CO,68,"2016-07-21 11:56:59",68,NULL,0,3
16,4Ps-SMD,"Pantawid- Tech Marketing Division","OFELIA R. ESCAURIAGA",NULL,4Ps,CO,68,"2016-07-21 11:51:55",68,NULL,0,3
17,4Ps-SSDMD,"Pantawid-Social Services Delivery and Management Division","NELLIBETH V. MERCADO",NULL,4Ps,CO,68,"2016-07-21 11:55:47",13,"2022-02-02 14:44:58",0,3
18,"ALL DSWD-CO","All Heads of Central Office",NULL,NULL,NULL,CO,13,"2022-02-02 13:08:50",14,"2022-03-01 15:31:24",0,3
19,"ALL DSWD-CO-FOs","All Heads of Central Office and Field Offices",NULL,NULL,NULL,CO,13,"2022-02-02 13:07:19",14,"2022-03-01 15:36:54",0,3
20,"ALL DSWD-EXECOM","All EXECOM",NULL,NULL,NULL,CO,13,"2022-02-02 13:14:56",14,"2022-03-01 15:37:55",0,1
21,"ALL DSWD-FOs","All Field Offices",NULL,NULL,NULL,FO,13,"2022-02-02 13:01:44",14,"2022-03-01 15:34:52",0,4
22,"ALL DSWD-MANCOM","All MANCOM",NULL,NULL,NULL,CO,13,"2022-02-02 13:15:31",14,"2022-03-01 15:39:15",0,2
23,AOC,"Agency Operations Center",NULL,NULL,NULL,CO,3,"2021-11-12 15:40:18",NULL,NULL,0,2
24,ARMM-FO-4PS-AS,"FO Pantawid - Administrative Section",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
25,ARMM-FO-4PS-BDM,"FO Pantawid - Beneficiary Data Management Section",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
26,ARMM-FO-4PS-CBS,"FO Pantawid - Capability Building Division",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
27,ARMM-FO-4PS-CVS,"FO Pantawid - Compliance Verification Section",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
28,ARMM-FO-4PS-FDS,"FO Pantawid - Family Development Section",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
29,ARMM-FO-4PS-GRS,"FO Pantawid - Grievance Redress Section",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
30,ARMM-FO-4PS-IPD,"FO Pantawid - Institutional Partnership Section",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
31,ARMM-FO-4PS-MCCT,"FO Pantawid - Modified Conditional Cash Transfer Section",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
32,ARMM-FO-4PS-OPS,"FO Pantawid - Operation",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
33,ARMM-FO-4PS-PMES,"FO Pantawid - Planning and Monitoring and Evaluation Section",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
34,ARMM-FO-4PS-RPMO,"FO Pantawid Regional Program Management Office",NULL,NULL,ARMM-FO-PROSD,ARMM,NULL,NULL,NULL,NULL,0,2
35,ARMM-FO-4PS-SMU,"FO Pantawid - Social Marketing Unit",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
36,ARMM-FO-4PS-SSDMS,"FO Pantawid - Social Services Delivery and Management Section",NULL,NULL,ARMM-FO-4PS,ARMM,NULL,NULL,NULL,NULL,0,2
37,ARMM-FO-AD,"FO Administrative Division",NULL,NULL,ARMM-FO-OARDA,ARMM,NULL,NULL,NULL,NULL,0,2
38,ARMM-FO-AD-GSS,"FO General Service Section",NULL,NULL,ARMM-FO-AD,ARMM,NULL,NULL,NULL,NULL,0,2
39,ARMM-FO-AD-PS,"FO Procurement Section",NULL,NULL,ARMM-FO-AD,ARMM,NULL,NULL,NULL,NULL,0,2
40,ARMM-FO-AD-PSS,"FO Property and Supply Section",NULL,NULL,ARMM-FO-AD,ARMM,NULL,NULL,NULL,NULL,0,2
41,ARMM-FO-AD-RAMS,"FO Records Management Section",NULL,NULL,ARMM-FO-AD,ARMM,NULL,NULL,NULL,NULL,0,2
42,ARMM-FO-ALL,"All DSWD Field Office ARMM",NULL,NULL,NULL,ARMM,NULL,NULL,NULL,NULL,0,2
43,ARMM-FO-BAC,"FO Bids and Awards Committee",NULL,NULL,NULL,ARMM,NULL,NULL,NULL,NULL,0,2
44,ARMM-FO-CBS-MTA,"FO Minors Travelling Abroad Office",NULL,NULL,ARMM-FO-PSD-COMBS,ARMM,NULL,NULL,NULL,NULL,0,2
45,ARMM-FO-CBSS-ANVRC,"FO A/NVRC Island Cluster",NULL,NULL,ARMM-FO-PSD-CBSS,ARMM,NULL,NULL,NULL,NULL,0,2
46,ARMM-FO-CBSS-RHGW,"FO Regional Home for Girls and Women",NULL,NULL,ARMM-FO-PSD-CBSS,ARMM,NULL,NULL,NULL,NULL,0,2
47,ARMM-FO-CBSS-RSCC,"FO Reception and Study Center for Children",NULL,NULL,ARMM-FO-PSD-CBSS,ARMM,NULL,NULL,NULL,NULL,0,2
48,ARMM-FO-CBSS-RSCY,"FO Regional Rehabilitation Center for Youth",NULL,NULL,ARMM-FO-PSD-CBSS,ARMM,NULL,NULL,NULL,NULL,0,2
49,ARMM-FO-COA,"FO Commision on Audit",NULL,NULL,NULL,ARMM,NULL,NULL,NULL,NULL,0,2
50,ARMM-FO-COMBS-ARRS,"FO Adoption Resource and Referral Section",NULL,NULL,ARMM-FO-PSD-COMBS,ARMM,NULL,NULL,NULL,NULL,0,2
51,ARMM-FO-COMBS-SFP,"FO Supplementary Feeding Program",NULL,NULL,ARMM-FO-PSD-COMBS,ARMM,NULL,NULL,NULL,NULL,0,2
52,ARMM-FO-COMBS-SPO,"FO Social Pension Office",NULL,NULL,ARMM-FO-PSD-COMBS,ARMM,NULL,NULL,NULL,NULL,0,2
53,ARMM-FO-DRMD,"FO Disaster Response Management Division",NULL,NULL,ARMM-FO-OARDO,ARMM,NULL,NULL,NULL,NULL,0,2
54,ARMM-FO-DRMD-DRIMS,"FO Regional Response & Information Management Section",NULL,NULL,ARMM-FO-DRMD,ARMM,NULL,NULL,NULL,NULL,0,2
55,ARMM-FO-DRMD-DRRMS,"FO Disaster Response Rehabilitation Managment Section",NULL,NULL,ARMM-FO-DRMD,ARMM,NULL,NULL,NULL,NULL,0,2
56,ARMM-FO-DRMD-RROS,"FO Regiona Resource Operation Section",NULL,NULL,ARMM-FO-DRMD,ARMM,NULL,NULL,NULL,NULL,0,2
57,ARMM-FO-FMD,"FO Financial Management Division",NULL,NULL,ARMM-FO-OARDA,ARMM,NULL,NULL,NULL,NULL,0,2
58,ARMM-FO-FMD-AS,"FO Accounting Section",NULL,NULL,ARMM-FO-FMD,ARMM,NULL,NULL,NULL,NULL,0,2
59,ARMM-FO-FMD-BS,"FO Budget Section",NULL,NULL,ARMM-FO-FMD,ARMM,NULL,NULL,NULL,NULL,0,2
60,ARMM-FO-FMD-CS,"FO Cash Section",NULL,NULL,ARMM-FO-FMD,ARMM,NULL,NULL,NULL,NULL,0,2
61,ARMM-FO-HRMDD,"FO Human Resource Management and Development Division",NULL,NULL,ARMM-FO-OARDA,ARMM,NULL,NULL,NULL,NULL,0,2
62,ARMM-FO-HRMDD-HRPPMS,"FO Human Resource Planning and Performance Management Section",NULL,NULL,ARMM-FO-HRMDD,ARMM,NULL,NULL,NULL,NULL,0,2
63,ARMM-FO-HRMDD-HRWS,"FO Human Resource Welfare Section",NULL,NULL,ARMM-FO-HRMDD,ARMM,NULL,NULL,NULL,NULL,0,2
64,ARMM-FO-HRMDD-LDS,"FO Learning and Development Section",NULL,NULL,ARMM-FO-HRMDD,ARMM,NULL,NULL,NULL,NULL,0,2
65,ARMM-FO-HRMDD-PAS,"FO Personal Administration Section",NULL,NULL,ARMM-FO-HRMDD,ARMM,NULL,NULL,NULL,NULL,0,2
66,ARMM-FO-IAU,"FO Internal Audit Unit",NULL,NULL,ARMM-FO-ORD,ARMM,NULL,NULL,NULL,NULL,0,2
67,ARMM-FO-KC,"FO Kalhi-CIDSS PMO",NULL,NULL,ARMM-FO-PROSD,ARMM,NULL,NULL,NULL,NULL,0,2
68,ARMM-FO-LU,"FO Legal Unit",NULL,NULL,ARMM-FO-ORD,ARMM,NULL,NULL,NULL,NULL,0,2
69,ARMM-FO-OARDA,"FO Office of Assistant Regional Director for Administration",NULL,NULL,ARMM-FO-ORD,ARMM,NULL,NULL,NULL,NULL,0,2
70,ARMM-FO-OARDO,"FO Office of Assistant Regional Director for Operation",NULL,NULL,ARMM-FO-ORD,ARMM,NULL,NULL,NULL,NULL,0,2
71,ARMM-FO-ORD,"FO Office of the Regional Director",NULL,NULL,NULL,ARMM,NULL,NULL,NULL,NULL,0,2
72,ARMM-FO-ORD-STU,"FO Social Technology Unit",NULL,NULL,ARMM-FO-ORD,ARMM,NULL,NULL,NULL,NULL,0,2
73,ARMM-FO-PPD,"FO Policy and Plans Division",NULL,NULL,ARMM-FO-ORD,ARMM,NULL,NULL,NULL,NULL,0,2
74,ARMM-FO-PPD-ICT,"FO Information & Planning Communication Technology Section",NULL,NULL,ARMM-FO-ORD,ARMM,NULL,NULL,NULL,NULL,0,2
75,ARMM-FO-PPD-NHTS,"FO National Household Targetting Section",NULL,NULL,ARMM-FO-ORD,ARMM,NULL,NULL,NULL,NULL,0,2
76,ARMM-FO-PPD-PDPS,"FO Policy Development and Planning Section",NULL,NULL,ARMM-FO-PPD,ARMM,NULL,NULL,NULL,NULL,0,2
77,ARMM-FO-PPD-SS,"FO Standard Section",NULL,NULL,ARMM-FO-ORD,ARMM,NULL,NULL,NULL,NULL,0,2
78,ARMM-FO-PPD-UCT,"FO Unconditional Cash Transfer",NULL,NULL,ARMM-FO-PPD,ARMM,NULL,NULL,NULL,NULL,0,2
79,ARMM-FO-PROMSD,"FO Promotive Service Division",NULL,NULL,ARMM-FO-OARDO,ARMM,NULL,NULL,NULL,NULL,0,2
80,ARMM-FO-PROMSD-EPAHP,"FO Enhance Partnership Against Hunger and Poverty",NULL,NULL,ARMM-FO-PROMSD,ARMM,NULL,NULL,NULL,NULL,0,2
81,ARMM-FO-PROMSD-SLP,"FO Sustainable Livelihood Program PMO",NULL,NULL,ARMM-FO-PROSD,ARMM,NULL,NULL,NULL,NULL,0,2
82,ARMM-FO-PSD,"FO Protective Service Division",NULL,NULL,ARMM-FO-OARDO,ARMM,NULL,NULL,NULL,NULL,0,2
83,ARMM-FO-PSD-CBS,"FO Capacity Building Section",NULL,NULL,ARMM-FO-PSD,ARMM,NULL,NULL,NULL,NULL,0,2
84,ARMM-FO-PSD-CBSS,"FO Center Based Services Section",NULL,NULL,ARMM-FO-PSD,ARMM,NULL,NULL,NULL,NULL,0,2
85,ARMM-FO-PSD-CIS,"FO Crisis Intervention Section",NULL,NULL,ARMM-FO-PSD,ARMM,NULL,NULL,NULL,NULL,0,2
86,ARMM-FO-PSD-COMBS,"FO Community Based Services Section",NULL,NULL,ARMM-FO-PSD,ARMM,NULL,NULL,NULL,NULL,0,2
87,ARMM-FO-SMU,"FO Social Marketing Unit",NULL,NULL,ARMM-FO-ORD,ARMM,NULL,NULL,NULL,NULL,0,2
88,AS,"Administrative Service",NULL,,OASADMIN,CO,16,"2014-09-12 16:55:04",335,"2022-02-02 13:18:30",0,2
89,AS-BGMD,"Administrative Service-Building and Grounds Management Division","OIC DC. ALFREDO C. EVANGELISTA",NULL,AS,CO,68,"2019-05-04 14:27:58",68,NULL,0,3
90,AS-GSD,"Administrative Service-General Service Division","OIC DC. EMYLOU P. MIRAVALLES",NULL,AS,CO,16,"2014-09-12 16:55:51",68,NULL,0,3
91,AS-PMD,"Administrative Service - Procurement Management Division","OIC DIR. KARINA ANTONETTE A. AGUDO",NULL,OUSGASS,CO,68,"2019-05-06 14:49:22",14,"2022-02-09 10:42:30",0,2
92,AS-PSAMD,"Administrative Service-Property Supply and Assets Management Division","MONETTE B. CADIANG",NULL,AS,CO,16,"2014-09-12 16:55:31",13,"2022-02-02 11:36:18",0,3
93,AS-RAMD,"Administrative Service-Records and Archives Management Division","OIC DC. MYRNA H. REYES",NULL,AS,CO,68,"2019-05-04 14:33:14",68,NULL,0,3
94,BAC,"Bids And Awards Committee (BAC) Secretariat ","OIC DC. OLIVA C. ARCAINA",NULL,PMS,CO,68,"2019-05-06 14:50:37",14,"2022-02-22 07:58:37",0,3
95,BangUn,"BangUn Project","USEC. MARK ALLAN JAY G. YAMBAO",NULL,OUSSP,CO,68,"2018-07-16 14:55:53",14,"2022-02-24 09:46:53",0,2
96,CAR-FO-4PS-AS,"FO Pantawid - Administrative Section",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
97,CAR-FO-4PS-BDM,"FO Pantawid - Beneficiary Data Management Section",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
98,CAR-FO-4PS-CBS,"FO Pantawid - Capability Building Division",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
99,CAR-FO-4PS-CVS,"FO Pantawid - Compliance Verification Section",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
100,CAR-FO-4PS-FDS,"FO Pantawid - Family Development Section",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
101,CAR-FO-4PS-GRS,"FO Pantawid - Grievance Redress Section",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
102,CAR-FO-4PS-IPD,"FO Pantawid - Institutional Partnership Section",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
103,CAR-FO-4PS-MCCT,"FO Pantawid - Modified Conditional Cash Transfer Section",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
104,CAR-FO-4PS-OPS,"FO Pantawid - Operation",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
105,CAR-FO-4PS-PMES,"FO Pantawid - Planning and Monitoring and Evaluation Section",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
106,CAR-FO-4PS-RPMO,"FO Pantawid Regional Program Management Office",NULL,NULL,CAR-FO-PROSD,CAR,NULL,NULL,NULL,NULL,0,2
107,CAR-FO-4PS-SMU,"FO Pantawid - Social Marketing Unit",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
108,CAR-FO-4PS-SSDMS,"FO Pantawid - Social Services Delivery and Management Section",NULL,NULL,CAR-FO-4PS,CAR,NULL,NULL,NULL,NULL,0,2
