AgencyGroupID,GroupCode,GroupName,GroupHead,ClusterCode,ParentGroupCode,DirectorateCode,Added_by,entry_stamp,last_modified_by,last_modified,DELETED,office_type
1,0,O,KSRINA ANTONETTE A. AGUDO,NULL,PMS,CO,68,5/6/2019 14:52,3,10/3/2022 12:32,1,3
2,4Ps,Pantawid-Office of The National Program Manager &,DIR. GEMMA G. GABUYA,,OASSPECPRO,CO,16,9/12/2014 17:21,4,10/24/2022 16:48,0,2
3,4Ps-ASD,Pantawid-Administrative Support Division,OIC DC. MIZIEL S. PASIA,NULL,4Ps,CO,68,7/21/2016 11:50,68,NULL,0,3
4,4Ps-BDMD,Pantawid-Beneficiary Data Management Division,OIC DC. ALNAIR I. ESPINOSA,NULL,4Ps,CO,68,7/21/2016 11:59,68,NULL,0,3
5,4Ps-CBD,Pantawid-Capability Building Division,OIC DC. ARNOLD JARN FORD G. BUIHISAN,NULL,4Ps,CO,68,7/21/2016 11:46,68,NULL,0,3
6,4Ps-CVD,Pantawid-Compliance Verification Division,CHRISTIAN JOSEPH M. REGUNAY,NULL,4Ps,CO,68,7/21/2016 11:47,68,NULL,0,3
7,4Ps-FDD,Pantawid-Family Development Division,MARICEL GRACE L.. GOMEZ,NULL,4Ps,CO,68,7/21/2016 11:42,68,NULL,0,3
8,4Ps-GRD,Pantawid-Grievance Redress Division,MA. ASUNCION DINO BASCO,NULL,4Ps,CO,68,7/21/2016 12:02,68,NULL,0,3
9,4Ps-IPD,Pantawid-Institutional Partnership Division,OIC DC. KHRISTINA U. UMALI,NULL,4Ps,CO,68,7/21/2016 15:59,68,NULL,0,3
10,4Ps-MCCTD,Pantawid-Modified Conditional Cash Ttransfer Division,JULIETA DIGMA ALEGARME,NULL,4Ps,CO,68,7/21/2016 11:45,353,2/2/2022 10:29,0,3
11,4Ps-ODPMO,Pantawid-Office of the Deputy Program Manager for Operation,NULL,NULL,NULL,CO,13,2/2/2022 11:53,14,2/7/2022 14:13,0,2
12,4Ps-ODPMS,Patawid-Office of the Deputy Program Manager for Support,NULL,NULL,NULL,CO,13,2/2/2022 12:39,NULL,NULL,0,2
13,4Ps-ONPM,Pantawid-Office of National Program Management,NULL,NULL,NULL,CO,13,2/2/2022 12:03,14,2/7/2022 14:15,1,2
14,4Ps-PMED,Pantawid-Planning Monitoring and Evaluation Division,OIC-DC JIMMY FRANCIS II T. SCHUCK,NULL,4Ps,CO,68,2/6/2019 9:29,68,NULL,0,3
15,4Ps-RMQAD,Pantawid-Risk Management and Quality Assurance Division,OIC DC. SABINA P. TABO,NULL,4Ps,CO,68,7/21/2016 11:56,68,NULL,0,3
16,4Ps-SMD,Pantawid- Tech Marketing Division,OFELIA R. ESCAURIAGA,NULL,4Ps,CO,68,7/21/2016 11:51,68,NULL,0,3
17,4Ps-SSDMD,Pantawid-Social Services Delivery and Management Division,NELLIBETH V. MERCADO,NULL,4Ps,CO,68,7/21/2016 11:55,13,2/2/2022 14:44,0,3
18,ALL DSWD-CO,All Heads of Central Office,NULL,NULL,NULL,CO,13,2/2/2022 13:08,14,3/1/2022 15:31,0,3
19,ALL DSWD-CO-FOs,All Heads of Central Office and Field Offices,NULL,NULL,NULL,CO,13,2/2/2022 13:07,14,3/1/2022 15:36,0,3
20,ALL DSWD-EXECOM,All EXECOM,NULL,NULL,NULL,CO,13,2/2/2022 13:14,14,3/1/2022 15:37,0,1
21,ALL DSWD-FOs,All Field Offices,NULL,NULL,NULL,FO,13,2/2/2022 13:01,14,3/1/2022 15:34,0,4
22,ALL DSWD-MANCOM,All MANCOM,NULL,NULL,NULL,CO,13,2/2/2022 13:15,14,3/1/2022 15:39,0,2
23,AOC,Agency Operations Center,NULL,NULL,NULL,CO,3,11/12/2021 15:40,NULL,NULL,0,2
24,ARMM-FO-4PS-AS,FO Pantawid - Administrative Section,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
25,ARMM-FO-4PS-BDM,FO Pantawid - Beneficiary Data Management Section,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
26,ARMM-FO-4PS-CBS,FO Pantawid - Capability Building Division,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
27,ARMM-FO-4PS-CVS,FO Pantawid - Compliance Verification Section,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
28,ARMM-FO-4PS-FDS,FO Pantawid - Family Development Section,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
29,ARMM-FO-4PS-GRS,FO Pantawid - Grievance Redress Section,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
30,ARMM-FO-4PS-IPD,FO Pantawid - Institutional Partnership Section,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
31,ARMM-FO-4PS-MCCT,FO Pantawid - Modified Conditional Cash Transfer Section,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
32,ARMM-FO-4PS-OPS,FO Pantawid - Operation,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
33,ARMM-FO-4PS-PMES,FO Pantawid - Planning and Monitoring and Evaluation Section,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
34,ARMM-FO-4PS-RPMO,FO Pantawid Regional Program Management Office,NULL,NULL,ARMM-FO-PROSD,15,NULL,NULL,NULL,NULL,0,2
35,ARMM-FO-4PS-SMU,FO Pantawid - Social Marketing Unit,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
36,ARMM-FO-4PS-SSDMS,FO Pantawid - Social Services Delivery and Management Section,NULL,NULL,ARMM-FO-4PS,15,NULL,NULL,NULL,NULL,0,2
37,ARMM-FO-AD,FO Administrative Division,NULL,NULL,ARMM-FO-OARDA,15,NULL,NULL,NULL,NULL,0,2
38,ARMM-FO-AD-GSS,FO General Service Section,NULL,NULL,ARMM-FO-AD,15,NULL,NULL,NULL,NULL,0,2
39,ARMM-FO-AD-PS,FO Procurement Section,NULL,NULL,ARMM-FO-AD,15,NULL,NULL,NULL,NULL,0,2
40,ARMM-FO-AD-PSS,FO Property and Supply Section,NULL,NULL,ARMM-FO-AD,15,NULL,NULL,NULL,NULL,0,2
41,ARMM-FO-AD-RAMS,FO Records Management Section,NULL,NULL,ARMM-FO-AD,15,NULL,NULL,NULL,NULL,0,2
42,ARMM-FO-ALL,All DSWD Field Office ARMM,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,0,2
43,ARMM-FO-BAC,FO Bids and Awards Committee,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,0,2
44,ARMM-FO-CBS-MTA,FO Minors Travelling Abroad Office,NULL,NULL,ARMM-FO-PSD-COMBS,15,NULL,NULL,NULL,NULL,0,2
