AgencyGroupID	GroupCode	GroupName	GroupHead	ClusterCode	ParentGroupCode	DirectorateCode	Added_by	entry_stamp	last_modified_by	last_modified	DELETED	office_type
1	0	O	KSRINA ANTONETTE A. AGUDO	NULL	PMS	CO	68	5/6/2019 14:52	3	10/3/2022 12:32	1	3
2	4Ps	Pantawid-Office of The National Program Manager &	DIR. GEMMA G. GABUYA		OASSPECPRO	CO	16	9/12/2014 17:21	4	10/24/2022 16:48	0	2
3	4Ps-ASD	Pantawid-Administrative Support Division	OIC DC. MIZIEL S. PASIA	NULL	4Ps	CO	68	7/21/2016 11:50	68	NULL	0	3
4	4Ps-BDMD	Pantawid-Beneficiary Data Management Division	OIC DC. ALNAIR I. ESPINOSA	NULL	4Ps	CO	68	7/21/2016 11:59	68	NULL	0	3
5	4Ps-CBD	Pantawid-Capability Building Division	OIC DC. ARNOLD JARN FORD G. BUIHISAN	NULL	4Ps	CO	68	7/21/2016 11:46	68	NULL	0	3
6	4Ps-CVD	Pantawid-Compliance Verification Division	CHRISTIAN JOSEPH M. REGUNAY	NULL	4Ps	CO	68	7/21/2016 11:47	68	NULL	0	3
7	4Ps-FDD	Pantawid-Family Development Division	MARICEL GRACE L.. GOMEZ	NULL	4Ps	CO	68	7/21/2016 11:42	68	NULL	0	3
8	4Ps-GRD	Pantawid-Grievance Redress Division	MA. ASUNCION DINO BASCO	NULL	4Ps	CO	68	7/21/2016 12:02	68	NULL	0	3
9	4Ps-IPD	Pantawid-Institutional Partnership Division	OIC DC. KHRISTINA U. UMALI	NULL	4Ps	CO	68	7/21/2016 15:59	68	NULL	0	3
10	4Ps-MCCTD	Pantawid-Modified Conditional Cash Ttransfer Division	JULIETA DIGMA ALEGARME	NULL	4Ps	CO	68	7/21/2016 11:45	353	2/2/2022 10:29	0	3
24	ARMM-FO-4PS-AS	FO Pantawid - Administrative Section	NULL	NULL	ARMM-FO-4PS	ARMM	NULL	NULL	NULL	NULL	0	2
96	CAR-FO-4PS-AS	FO Pantawid - Administrative Section	NULL	NULL	CAR-FO-4PS	CAR	NULL	NULL	NULL	NULL	0	2
160	CARAGA-FO-4PS-AS	FO Pantawid - Administrative Section	NULL	NULL	CARAGA-FO-4PS	CARAGA	NULL	NULL	NULL	NULL	0	2
251	FO I	REGION I [Ilocos Region]	NULL	NULL	NULL	I	NULL	NULL	4	5/2/2022 14:14	0	4
252	FO II	REGION II [Cagayan Valley]	NULL	NULL	NULL	II	NULL	NULL	4	5/2/2022 14:15	0	4
253	FO III	REGION III [Central Luzon]	NULL	NULL	NULL	III	NULL	NULL	4	5/2/2022 14:15	0	4
254	FO IV-A	REGION IV-A [CALABARZON]	NULL	NULL	NULL	IV-A	NULL	NULL	4	5/2/2022 14:12	0	4
255	FO IV-B	REGION IV-B [MIMAROPA]	NULL	NULL	NULL	IV-B	NULL	NULL	4	5/2/2022 14:15	0	4
257	FO NCR	NCR [National Capital Region]	NULL	NULL	NULL	NCR	NULL	NULL	4	5/2/2022 14:22	0	4
812	OSEC	Office of the Secretary	SEC. ROLANDO JOSELITO D. BAUTISTA	NULL	OSEC	CO	16	9/12/2014 17:31	68	NULL	0	1
